Subject,Start Date,End Date,Start Time,End Time,Description
K493E-ビジネス分析のためのデータサイエンス,2021/12/22,2021/12/22,18:30:00,21:55:00,講師: Huynh
K493E-ビジネス分析のためのデータサイエンス,2021/12/23,2021/12/23,18:30:00,21:55:00,講師: Huynh
I466-国際標準化概論,2021/12/24,2021/12/24,17:10:00,18:50:00,講師: 大西（祥）
K493E-ビジネス分析のためのデータサイエンス,2021/12/24,2021/12/24,18:30:00,21:55:00,講師: Huynh
I211-数理論理学,2021/12/25,2021/12/25,09:20:00,12:50:00,講師: 小川
I212-情報解析学特論,2021/12/25,2021/12/25,09:20:00,12:50:00,講師: 吉高
K493E-ビジネス分析のためのデータサイエンス,2021/12/25,2021/12/25,09:20:00,17:20:00,講師: Huynh
I416-並列処理,2021/12/25,2021/12/25,13:50:00,17:20:00,講師: 井口
I468-ダイナミクスのモデリング,2021/12/26,2021/12/26,13:50:00,17:20:00,講師: 前園
I466-国際標準化概論,2022/01/06,2022/01/06,17:10:00,18:50:00,講師: 大西（祥）
I466-国際標準化概論,2022/01/14,2022/01/14,17:10:00,18:50:00,講師: 大西（祥）
I211-数理論理学,2022/01/15,2022/01/15,09:20:00,12:50:00,講師: 小川
I212-情報解析学特論,2022/01/15,2022/01/15,09:20:00,12:50:00,講師: 吉高
K629-IoT·AIイノベーション特論,2022/01/15,2022/01/15,13:50:00,17:20:00,講師: 内平
K490-データサイエンス論,2022/01/17,2022/01/17,18:30:00,21:55:00,講師: Dam
K490-データサイエンス論,2022/01/18,2022/01/18,18:30:00,21:55:00,講師: Dam
K490-データサイエンス論,2022/01/19,2022/01/19,18:30:00,21:55:00,講師: Dam
I466-国際標準化概論,2022/01/21,2022/01/21,17:10:00,18:50:00,講師: 大西（祥）
K239EJ-社会科学実践的方法論,2022/01/22,2022/01/22,09:20:00,15:30:00,講師: Kim
I471-実践的IoTシステムアーキテクチャ論,2022/01/23,2022/01/23,09:20:00,17:20:00,講師: 鈴木(正)
K628E-次世代技術・サービス経営論,2022/01/24,2022/01/24,18:30:00,21:55:00,講師: 内平
K628E-次世代技術・サービス経営論,2022/01/25,2022/01/25,18:30:00,21:55:00,講師: 内平
K628E-次世代技術・サービス経営論,2022/01/27,2022/01/27,18:30:00,21:55:00,講師: 内平
I466-国際標準化概論,2022/01/28,2022/01/28,17:10:00,18:50:00,講師: 大西（祥）
K628E-次世代技術・サービス経営論,2022/01/28,2022/01/28,18:30:00,21:55:00,講師: 内平
I472F-コデザイン,2022/01/29,2022/01/29,09:20:00,17:20:00,講師: 若林
I471-実践的IoTシステムアーキテクチャ論,2022/01/30,2022/01/30,09:20:00,17:20:00,講師: 鈴木(正)
I472F-コデザイン,2022/01/30,2022/01/30,09:20:00,17:20:00,講師: 若林
I466-国際標準化概論,2022/02/04,2022/02/04,17:10:00,18:50:00,講師: 大西（祥）
K490-データサイエンス論,2022/02/07,2022/02/07,18:30:00,21:55:00,講師: 磯貝
K490-データサイエンス論,2022/02/08,2022/02/08,18:30:00,21:55:00,講師: 磯貝
K490-データサイエンス論,2022/02/09,2022/02/09,18:30:00,21:55:00,講師: 磯貝
K490-データサイエンス論,2022/02/11,2022/02/11,09:20:00,12:50:00,講師: Dam
I478F-プロジェクトマネジメント,2022/02/12,2022/02/12,09:20:00,17:20:00,講師: 井澤
I471-実践的IoTシステムアーキテクチャ論,2022/02/13,2022/02/13,09:20:00,17:20:00,講師: 鈴木(正)
I478F-プロジェクトマネジメント,2022/02/13,2022/02/13,09:20:00,17:20:00,講師: 井澤
K239EJ-社会科学実践的方法論,2022/02/13,2022/02/13,09:20:00,15:30:00,講師: Kim
K452-サービスサイエンス論,2022/02/14,2022/02/14,18:30:00,21:55:00,講師: 神田
K452-サービスサイエンス論,2022/02/15,2022/02/15,18:30:00,21:55:00,講師: 神田
K452-サービスサイエンス論,2022/02/16,2022/02/16,18:30:00,21:55:00,講師: 奥和田
K452-サービスサイエンス論,2022/02/17,2022/02/17,18:30:00,21:55:00,講師: 神田
K452-サービスサイエンス論,2022/02/18,2022/02/18,18:30:00,21:55:00,講師: 杉山
K452-サービスサイエンス論,2022/02/19,2022/02/19,09:20:00,17:20:00,講師: 神田
K478-医療サービス知識経営論,2022/02/21,2022/02/21,18:30:00,21:55:00,講師: 中村・池田（満）
K478-医療サービス知識経営論,2022/02/22,2022/02/22,18:30:00,21:55:00,講師: 池田（満）
K239EJ-社会科学実践的方法論,2022/02/23,2022/02/23,09:20:00,15:30:00,講師: Kim
K478-医療サービス知識経営論,2022/02/24,2022/02/24,18:30:00,21:55:00,講師: 池田（満）
K494-機械学習工学,2022/02/28,2022/02/28,18:30:00,21:55:00,講師: 吉岡
K494-機械学習工学,2022/03/01,2022/03/01,18:30:00,21:55:00,講師: 吉岡
K494-機械学習工学,2022/03/02,2022/03/02,18:30:00,21:55:00,講師: 鷲崎
K494-機械学習工学,2022/03/03,2022/03/03,18:30:00,21:55:00,講師: 内平
I471-実践的IoTシステムアーキテクチャ論,2022/03/06,2022/03/06,09:20:00,12:50:00,講師: 鈴木(正)
K420-研究・新事業開発における知識創造・活用マネジメント,2022/03/07,2022/03/07,18:30:00,21:55:00,講師: 佐藤(治)
K420-研究・新事業開発における知識創造・活用マネジメント,2022/03/08,2022/03/08,18:30:00,21:55:00,講師: 佐藤(治)
K420-研究・新事業開発における知識創造・活用マネジメント,2022/03/09,2022/03/09,18:30:00,21:55:00,講師: 佐藤(治)
K420-研究・新事業開発における知識創造・活用マネジメント,2022/03/10,2022/03/10,18:30:00,21:55:00,講師: 佐藤(治)
K420-研究・新事業開発における知識創造・活用マネジメント,2022/03/11,2022/03/11,18:30:00,21:55:00,講師: 佐藤(治)
